,,,,Assembly Statisitcs of Stacks Per Individual (ustacks),,,After Genotype Calling with gstacks,,
Sample,No. Reads,In Catalog (for Genotyping),POP,Average Coverage,Standard Deviation,No. of Reads Used,Number of loci,Mean Coverage,Mean Coverage ns
TUL_m_055,1455895,n,TUL,113.89,237.36, 722208(49.6%),5019,99.271,88.34
TUL_m_060,3382266,y,TUL,53.34,184.86, 1299380(38.4%),23003,50.842,50.029
TUL_m_062,3109015,y,TUL,60.93,195.83, 1265235(40.7%),19644,58.364,56.549
TUL_m_063,3525244,y,TUL,47.52,173.53, 1442273(40.9%),28957,45.634,47.506
TUL_m_069,2774500,n,TUL,55.47,182.19, 1162454(41.9%),17735,45.64,47.241
TUL_m_070,2561524,n,TUL,69.26,203.09, 1125614(43.9%),13481,57.594,56.731
TUL_m_071,4247179,y,TUL,42.8,163.37, 1444012(34.0%),32378,41.797,44.628
,,,,,,,,,
Average,2956006.87894737,,,45.8463636364,,,28728.5721925134,39.6747219251,42.9363315508
StDev,1097382.49132882,,,14.5706261678,,,13011.9734499925,11.972673254,9.8878020638
